,state,date,max_temp,humidity,cloudiness,wind_speed,description,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,sum_passengers,city_rank,qol_index,purchase_power,safety,healh_care,cost_of_living,prop_to_income_ratio,traffic_comm_time,pollution,climate,city,latitude,longitude,high_q
1329,MD,2023-03-02 01:47:41,47.88,91,0,5.75,   Government Expenditures ,534327.0,616853.0,675216.0,762724.0,765719.0,712183.0,640236.0,595673.0,621385.0,660603.0,1.75M,40.0,166.1,135.2,24.4,75.6,74.3,1.0,31.2,50.4,81.2,Lexington Park,38.2668,-76.4538,0
1330,MI,2023-03-02 01:52:14,29.97,88,100,12.66,   Government Expenditures ,371843.0,391653.0,409973.0,426661.0,441875.0,458791.0,472418.0,485988.0,508609.0,535181.0,0.72M,60.0,135.4,115.5,26.1,62.4,72.3,1.4,44.6,59.8,66.0,Norway,45.7869,-87.9037,0
1331,NY,2023-03-02 01:51:14,35.22,95,100,1.01,   Government Expenditures ,1078264.0,1164061.0,1222449.0,1301691.0,1346456.0,1382020.0,1421997.0,1434541.0,1491359.0,1535625.0,84.43M,17.0,172.8,105.0,53.1,73.0,78.0,6.4,25.4,30.2,66.4,Glens Falls,43.3095,-73.644,0
1333,NC,2023-03-02 01:52:15,64.4,73,0,1.99,   Government Expenditures ,566529.0,616016.0,621819.0,633533.0,633430.0,614989.0,591243.0,517182.0,518677.0,542180.0,3.74M,9.0,174.1,105.4,61.2,67.7,80.0,6.4,36.3,31.6,83.9,Matthews,35.1168,-80.7237,1
1335,IA,2023-03-02 01:49:11,36.7,77,75,16.11,   Government Expenditures ,146985.0,152780.0,158470.0,161517.0,168328.0,175019.0,180499.0,187210.0,198314.0,218073.0,0.00M,,,,,,,,,,,Cedar Rapids,42.0083,-91.6441,0
1336,NY,2023-03-02 01:53:15,38.62,69,100,2.28,   Government Expenditures ,1078264.0,1164061.0,1222449.0,1301691.0,1346456.0,1382020.0,1421997.0,1434541.0,1491359.0,1535625.0,84.43M,17.0,172.8,105.0,53.1,73.0,78.0,6.4,25.4,30.2,66.4,Erie,42.7667,-78.6664,0
1338,TN,2023-03-02 01:51:01,67.37,55,40,5.75,   Government Expenditures ,352536.0,376715.0,383697.0,394475.0,408948.0,421314.0,437671.0,417623.0,436064.0,469304.0,0.54M,33.0,169.1,109.5,53.6,64.9,79.7,3.9,39.0,35.7,83.0,Johnson City,36.3134,-82.3535,0
1339,OH,2023-03-02 01:53:16,57.2,72,100,7.36,   Government Expenditures ,518354.0,540419.0,561612.0,583584.0,619216.0,656250.0,677150.0,693134.0,727165.0,775456.0,0.63M,10.0,174.0,119.9,52.0,68.4,72.1,7.1,30.4,32.3,71.3,Bellefontaine,40.3612,-83.7597,1
1341,ID,2023-03-02 01:51:16,35.08,69,0,20.71,   Government Expenditures ,97673.0,103504.0,108816.0,112120.0,116308.0,120054.0,123867.0,124246.0,126093.0,136371.0,0.00M,,,,,,,,,,,Mountain Home,43.133,-115.6912,0
1342,TX,2023-03-02 01:53:00,60.19,63,0,3.44,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Sherman,33.6357,-96.6089,1
1346,MI,2023-03-02 01:53:18,39.92,79,100,0.0,   Government Expenditures ,371843.0,391653.0,409973.0,426661.0,441875.0,458791.0,472418.0,485988.0,508609.0,535181.0,0.72M,60.0,135.4,115.5,26.1,62.4,72.3,1.4,44.6,59.8,66.0,Owosso,42.9978,-84.1766,0
1347,WI,2023-03-02 01:51:08,32.41,92,100,9.22,   Government Expenditures ,292367.0,303838.0,313292.0,319112.0,308493.0,282018.0,251343.0,241818.0,256523.0,275591.0,0.00M,26.0,170.8,93.0,65.4,75.4,71.7,8.1,28.9,25.1,51.6,Chippewa Falls,44.9369,-91.3929,0
1349,MA,2023-03-02 01:53:19,37.65,78,100,3.0,   Government Expenditures ,268421.0,290578.0,294791.0,310258.0,321513.0,328040.0,334465.0,318123.0,327764.0,348418.0,45.33M,36.0,168.2,108.5,60.7,74.5,84.5,7.8,45.0,30.8,71.7,Stoughton,42.1251,-71.1023,0
1350,CA,2023-03-02 01:50:15,52.93,55,0,21.0,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Oceanside,33.1959,-117.3795,1
1356,CA,2023-03-02 01:53:20,54.03,48,20,20.71,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Long Beach,33.767,-118.1892,1
1362,WI,2023-03-02 01:53:21,36.77,93,100,1.01,   Government Expenditures ,292367.0,303838.0,313292.0,319112.0,308493.0,282018.0,251343.0,241818.0,256523.0,275591.0,0.00M,26.0,170.8,93.0,65.4,75.4,71.7,8.1,28.9,25.1,51.6,Manitowoc,44.0667,-87.8001,0
1364,AL,2023-03-02 01:49:39,75.25,82,75,11.5,,,,,,,,,,,,0.00M,,,,,,,,,,,Mobile,30.7835,-88.2,0
1365,ME,2023-03-02 01:53:23,34.45,81,100,4.29,   Government Expenditures ,59464.0,65303.0,66212.0,69234.0,73179.0,76798.0,82599.0,77752.0,81112.0,87875.0,0.93M,,,,,,,,,,,Skowhegan,44.7651,-69.7192,0
1366,NY,2023-03-02 01:53:23,41.76,88,100,10.36,   Government Expenditures ,1078264.0,1164061.0,1222449.0,1301691.0,1346456.0,1382020.0,1421997.0,1434541.0,1491359.0,1535625.0,84.43M,17.0,172.8,105.0,53.1,73.0,78.0,6.4,25.4,30.2,66.4,Plainview,40.7765,-73.4673,0
1368,NY,2023-03-02 01:53:24,42.48,86,100,10.36,   Government Expenditures ,1078264.0,1164061.0,1222449.0,1301691.0,1346456.0,1382020.0,1421997.0,1434541.0,1491359.0,1535625.0,84.43M,17.0,172.8,105.0,53.1,73.0,78.0,6.4,25.4,30.2,66.4,Nassau,40.7507,-73.5829,0
1370,OH,2023-03-02 01:49:01,66.61,43,100,1.99,   Government Expenditures ,518354.0,540419.0,561612.0,583584.0,619216.0,656250.0,677150.0,693134.0,727165.0,775456.0,0.63M,10.0,174.0,119.9,52.0,68.4,72.1,7.1,30.4,32.3,71.3,Steubenville,40.3698,-80.634,1
1372,WA,2023-03-02 01:53:26,45.14,78,0,6.91,   Government Expenditures ,503989.0,533433.0,548284.0,567321.0,601385.0,640027.0,672300.0,676406.0,704264.0,778744.0,2.72M,18.0,172.6,118.1,46.9,71.8,94.0,5.8,42.7,31.3,91.7,Marysville,48.0518,-122.1771,0
1374,OH,2023-03-02 01:53:28,64.71,39,100,3.44,   Government Expenditures ,518354.0,540419.0,561612.0,583584.0,619216.0,656250.0,677150.0,693134.0,727165.0,775456.0,0.63M,10.0,174.0,119.9,52.0,68.4,72.1,7.1,30.4,32.3,71.3,Chillicothe,39.3331,-82.9824,1
1376,NY,2023-03-02 01:53:28,38.26,89,100,3.44,   Government Expenditures ,1078264.0,1164061.0,1222449.0,1301691.0,1346456.0,1382020.0,1421997.0,1434541.0,1491359.0,1535625.0,84.43M,17.0,172.8,105.0,53.1,73.0,78.0,6.4,25.4,30.2,66.4,Brewster,41.3973,-73.6171,0
1378,TX,2023-03-02 01:53:28,76.01,96,100,9.22,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Wharton,29.3116,-96.1027,1
1382,IA,2023-03-02 01:53:30,23.58,100,100,10.36,   Government Expenditures ,146985.0,152780.0,158470.0,161517.0,168328.0,175019.0,180499.0,187210.0,198314.0,218073.0,0.00M,,,,,,,,,,,Le Mars,42.7942,-96.1656,0
1383,CA,2023-03-02 01:53:31,55.31,43,0,12.66,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Pittsburg,38.028,-121.8847,1
1389,TX,2023-03-02 01:53:32,79.12,77,100,7.0,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Canyon Lake,29.8752,-98.2625,1
1393,NJ,2023-03-02 01:53:32,42.78,87,100,8.05,   Government Expenditures ,341025.0,338796.0,343080.0,332242.0,334605.0,337079.0,338062.0,345313.0,363664.0,392735.0,8.82M,,,,,,,,,,,Bloomfield,40.8068,-74.1854,0
1394,ME,2023-03-02 01:53:32,34.45,86,100,2.75,   Government Expenditures ,59464.0,65303.0,66212.0,69234.0,73179.0,76798.0,82599.0,77752.0,81112.0,87875.0,0.93M,,,,,,,,,,,Waldoboro,44.0954,-69.3756,0
1395,AL,2023-03-02 01:49:34,78.58,64,75,8.05,,,,,,,,,,,,0.00M,,,,,,,,,,,Tuscaloosa,33.2098,-87.5692,0
1396,MS,2023-03-02 01:53:33,77.32,78,100,10.0,   Government Expenditures ,161720.0,176969.0,179349.0,184860.0,184154.0,178866.0,179630.0,165845.0,173008.0,185792.0,0.01M,,,,,,,,,,,Hattiesburg,31.3271,-89.2903,0
1397,NM,2023-03-02 01:53:34,64.85,15,0,17.27,   Government Expenditures ,169136.0,182143.0,193085.0,202443.0,201687.0,196499.0,195241.0,196954.0,205522.0,216422.0,0.28M,19.0,172.6,149.2,28.1,62.8,69.1,3.8,29.2,34.8,67.1,Sunland Park,31.7965,-106.58,0
1398,CA,2023-03-02 01:53:34,53.73,57,54,5.99,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Mill Valley,37.906,-122.545,1
1404,IL,2023-03-02 01:54:37,51.35,65,75,5.75,   Government Expenditures ,1000244.0,964093.0,970276.0,927302.0,1021759.0,1167155.0,1236652.0,1239230.0,1212387.0,1265774.0,2.34M,53.0,150.8,126.9,34.0,64.8,80.4,3.4,41.6,49.0,66.1,Franklin Park,41.9353,-87.8656,0
1405,GA,2023-03-02 01:54:37,73.13,58,0,4.61,   Government Expenditures ,405793.0,432925.0,446331.0,463797.0,454535.0,423344.0,410587.0,414046.0,467874.0,515523.0,1.80M,41.0,165.6,127.4,36.2,69.6,73.4,3.1,41.7,44.8,89.7,Hinesville,31.8469,-81.5959,0
1406,FL,2023-03-02 01:54:00,75.15,57,0,4.61,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Auburndale,28.0653,-81.7887,1
1410,TX,2023-03-02 01:54:38,65.52,72,0,8.05,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Mesquite,32.7668,-96.5992,1
1414,WA,2023-03-02 01:51:00,42.93,53,100,18.41,   Government Expenditures ,503989.0,533433.0,548284.0,567321.0,601385.0,640027.0,672300.0,676406.0,704264.0,778744.0,2.72M,18.0,172.6,118.1,46.9,71.8,94.0,5.8,42.7,31.3,91.7,Ellensburg,46.9965,-120.5479,0
1416,CA,2023-03-02 01:54:40,37.94,95,100,3.56,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Humboldt,40.6665,-123.9178,1
1422,MI,2023-03-02 01:54:40,37.81,92,0,0.0,   Government Expenditures ,371843.0,391653.0,409973.0,426661.0,441875.0,458791.0,472418.0,485988.0,508609.0,535181.0,0.72M,60.0,135.4,115.5,26.1,62.4,72.3,1.4,44.6,59.8,66.0,Ionia,42.9873,-85.0711,0
1423,TN,2023-03-02 01:54:40,72.57,73,100,3.44,   Government Expenditures ,352536.0,376715.0,383697.0,394475.0,408948.0,421314.0,437671.0,417623.0,436064.0,469304.0,0.54M,33.0,169.1,109.5,53.6,64.9,79.7,3.9,39.0,35.7,83.0,Oak Ridge,36.0104,-84.2696,0
1424,FL,2023-03-02 01:54:41,73.18,74,0,0.0,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Zephyrhills,28.2336,-82.1812,1
1428,AZ,2023-03-02 01:54:41,53.02,83,100,21.85,   Government Expenditures ,386583.0,426882.0,445864.0,475043.0,493474.0,516519.0,542143.0,541020.0,554363.0,592774.0,1.04M,14.0,173.1,118.4,47.7,59.4,72.5,5.8,29.1,27.8,72.7,Buckeye,33.3703,-112.5838,0
1430,TX,2023-03-02 01:54:41,61.5,78,40,3.44,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Bonham,33.5773,-96.1783,1
1434,GA,2023-03-02 01:54:42,73.27,39,0,4.61,   Government Expenditures ,405793.0,432925.0,446331.0,463797.0,454535.0,423344.0,410587.0,414046.0,467874.0,515523.0,1.80M,41.0,165.6,127.4,36.2,69.6,73.4,3.1,41.7,44.8,89.7,Liberty,31.8335,-81.5004,0
1435,CA,2023-03-02 01:54:42,36.0,80,75,11.5,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Crestline,34.242,-117.2856,1
1441,NY,2023-03-02 01:54:42,39.51,82,100,6.91,   Government Expenditures ,1078264.0,1164061.0,1222449.0,1301691.0,1346456.0,1382020.0,1421997.0,1434541.0,1491359.0,1535625.0,84.43M,17.0,172.8,105.0,53.1,73.0,78.0,6.4,25.4,30.2,66.4,Newburgh,41.5034,-74.0104,0
1443,MI,2023-03-02 01:54:43,39.58,84,0,3.44,   Government Expenditures ,371843.0,391653.0,409973.0,426661.0,441875.0,458791.0,472418.0,485988.0,508609.0,535181.0,0.72M,60.0,135.4,115.5,26.1,62.4,72.3,1.4,44.6,59.8,66.0,Lansing,42.7325,-84.5555,0
1444,MI,2023-03-02 01:54:43,47.21,90,0,0.0,   Government Expenditures ,371843.0,391653.0,409973.0,426661.0,441875.0,458791.0,472418.0,485988.0,508609.0,535181.0,0.72M,60.0,135.4,115.5,26.1,62.4,72.3,1.4,44.6,59.8,66.0,Albion,42.2431,-84.753,0
1445,CA,2023-03-02 01:52:04,53.98,57,40,20.71,   Government Expenditures ,2779588.0,2790242.0,2817304.0,2802484.0,3017853.0,3222411.0,3331340.0,3248535.0,3367605.0,3654322.0,31.95M,8.0,174.3,114.2,59.6,69.0,82.8,8.4,35.5,40.0,97.1,Belmont,37.5202,-122.2758,1
1451,MO,2023-03-02 01:54:44,51.85,37,0,0.0,   Government Expenditures ,342806.0,361897.0,370851.0,379456.0,380017.0,375877.0,369377.0,366949.0,385412.0,408000.0,0.00M,24.0,171.3,114.7,41.4,72.7,70.5,4.5,29.9,34.1,75.1,Sedalia,38.7045,-93.2283,0
1453,OH,2023-03-02 01:53:05,54.88,71,75,6.91,   Government Expenditures ,518354.0,540419.0,561612.0,583584.0,619216.0,656250.0,677150.0,693134.0,727165.0,775456.0,0.63M,10.0,174.0,119.9,52.0,68.4,72.1,7.1,30.4,32.3,71.3,Portage,41.1667,-81.1998,1
1455,MS,2023-03-02 01:52:17,80.28,62,75,8.05,   Government Expenditures ,161720.0,176969.0,179349.0,184860.0,184154.0,178866.0,179630.0,165845.0,173008.0,185792.0,0.01M,,,,,,,,,,,Vicksburg,32.3526,-90.8779,0
1456,OR,2023-03-02 01:54:45,45.91,69,0,5.75,   Government Expenditures ,286360.0,314568.0,341102.0,373430.0,397852.0,419070.0,432574.0,440083.0,447040.0,475288.0,1.65M,12.0,173.8,111.0,44.5,72.6,82.9,5.0,33.5,32.6,89.6,Grants Pass,42.439,-123.3284,0
1457,TX,2023-03-02 01:54:45,65.41,11,20,17.27,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Socorro,31.6546,-106.3033,1
1461,ID,2023-03-02 01:52:48,42.15,62,0,11.5,   Government Expenditures ,97673.0,103504.0,108816.0,112120.0,116308.0,120054.0,123867.0,124246.0,126093.0,136371.0,0.00M,,,,,,,,,,,Caldwell,43.6629,-116.6874,0
1462,FL,2023-03-02 01:54:45,76.1,87,40,4.0,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Holly Hill,29.2436,-81.0376,1
1466,OR,2023-03-02 01:54:46,44.71,49,0,4.61,   Government Expenditures ,286360.0,314568.0,341102.0,373430.0,397852.0,419070.0,432574.0,440083.0,447040.0,475288.0,1.65M,12.0,173.8,111.0,44.5,72.6,82.9,5.0,33.5,32.6,89.6,Roseburg,43.2165,-123.3417,0
1467,GA,2023-03-02 01:54:46,73.51,83,22,11.36,   Government Expenditures ,405793.0,432925.0,446331.0,463797.0,454535.0,423344.0,410587.0,414046.0,467874.0,515523.0,1.80M,41.0,165.6,127.4,36.2,69.6,73.4,3.1,41.7,44.8,89.7,Moultrie,31.1799,-83.7891,0
1468,IA,2023-03-02 01:54:47,36.34,86,0,14.97,   Government Expenditures ,146985.0,152780.0,158470.0,161517.0,168328.0,175019.0,180499.0,187210.0,198314.0,218073.0,0.00M,,,,,,,,,,,Creston,41.0586,-94.3614,0
1469,TX,2023-03-02 01:53:20,75.22,76,0,4.61,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Corsicana,32.0954,-96.4689,1
1473,FL,2023-03-02 01:54:49,73.0,81,2,6.2,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Saint Pete Beach,27.7253,-82.7412,1
1477,ME,2023-03-02 01:54:49,33.35,100,100,2.33,   Government Expenditures ,59464.0,65303.0,66212.0,69234.0,73179.0,76798.0,82599.0,77752.0,81112.0,87875.0,0.93M,,,,,,,,,,,Rumford,44.5537,-70.5509,0
1478,OR,2023-03-02 01:53:26,40.01,66,100,5.99,   Government Expenditures ,286360.0,314568.0,341102.0,373430.0,397852.0,419070.0,432574.0,440083.0,447040.0,475288.0,1.65M,12.0,173.8,111.0,44.5,72.6,82.9,5.0,33.5,32.6,89.6,Pendleton,45.6721,-118.7886,0
1479,IL,2023-03-02 01:54:49,49.69,68,0,6.91,   Government Expenditures ,1000244.0,964093.0,970276.0,927302.0,1021759.0,1167155.0,1236652.0,1239230.0,1212387.0,1265774.0,2.34M,53.0,150.8,126.9,34.0,64.8,80.4,3.4,41.6,49.0,66.1,Zion,42.4461,-87.8328,0
1480,UT,2023-03-02 01:55:50,34.99,87,75,14.97,   Government Expenditures ,355630.0,361978.0,365057.0,360619.0,371582.0,385031.0,409420.0,385123.0,391589.0,418705.0,2.31M,43.0,164.7,127.7,66.5,70.4,65.4,3.6,35.1,63.5,66.5,East Millcreek,40.7,-111.8105,0
1481,WI,2023-03-02 01:55:50,32.22,97,100,16.11,   Government Expenditures ,292367.0,303838.0,313292.0,319112.0,308493.0,282018.0,251343.0,241818.0,256523.0,275591.0,0.00M,26.0,170.8,93.0,65.4,75.4,71.7,8.1,28.9,25.1,51.6,Dunn,44.95,-91.8835,0
1483,TX,2023-03-02 01:55:50,75.43,92,100,17.27,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Ingleside,27.8778,-97.2117,1
1487,AR,2023-03-02 01:55:51,73.45,96,100,5.86,   Government Expenditures ,145929.0,156430.0,161631.0,167361.0,171633.0,173445.0,177039.0,170515.0,173614.0,190570.0,0.00M,,,,,,,,,,,Hope,33.6671,-93.5916,0
1488,WI,2023-03-02 01:54:26,32.61,93,100,9.22,   Government Expenditures ,292367.0,303838.0,313292.0,319112.0,308493.0,282018.0,251343.0,241818.0,256523.0,275591.0,0.00M,26.0,170.8,93.0,65.4,75.4,71.7,8.1,28.9,25.1,51.6,Eau Claire,44.8114,-91.4985,0
1490,WI,2023-03-02 01:52:48,21.47,82,100,17.27,   Government Expenditures ,292367.0,303838.0,313292.0,319112.0,308493.0,282018.0,251343.0,241818.0,256523.0,275591.0,0.00M,26.0,170.8,93.0,65.4,75.4,71.7,8.1,28.9,25.1,51.6,Superior,46.7208,-92.1041,0
1492,PA,2023-03-02 01:55:51,60.15,67,100,1.01,   Government Expenditures ,483052.0,517052.0,527817.0,540568.0,591507.0,646113.0,711072.0,707676.0,738929.0,794561.0,2.70M,25.0,171.1,122.3,62.2,74.1,75.7,5.2,38.1,46.3,72.1,New Kensington,40.5698,-79.7648,0
1494,MI,2023-03-02 01:55:53,34.41,100,95,3.44,   Government Expenditures ,371843.0,391653.0,409973.0,426661.0,441875.0,458791.0,472418.0,485988.0,508609.0,535181.0,0.72M,60.0,135.4,115.5,26.1,62.4,72.3,1.4,44.6,59.8,66.0,Port Hope,43.9408,-82.7127,0
1495,FL,2023-03-02 01:55:53,75.22,63,0,4.61,   Government Expenditures ,1233208.0,1333858.0,1394757.0,1465188.0,1530785.0,1583621.0,1623368.0,1647033.0,1738239.0,1888853.0,79.62M,1.0,175.4,126.2,48.9,63.5,71.7,4.5,36.6,36.1,87.2,Golden Gate,26.1879,-81.6951,1
1499,SC,2023-03-02 01:55:05,69.19,87,40,8.05,   Government Expenditures ,200816.0,225343.0,255535.0,294578.0,317126.0,324548.0,329170.0,340535.0,356591.0,384201.0,1.49M,,,,,,,,,,,Myrtle Beach,33.6891,-78.8867,0
1500,PA,2023-03-02 01:51:28,47.41,80,20,10.36,   Government Expenditures ,483052.0,517052.0,527817.0,540568.0,591507.0,646113.0,711072.0,707676.0,738929.0,794561.0,2.70M,25.0,171.1,122.3,62.2,74.1,75.7,5.2,38.1,46.3,72.1,Harrisburg,40.2737,-76.8844,0
1502,AR,2023-03-02 01:55:55,58.28,56,0,4.61,   Government Expenditures ,145929.0,156430.0,161631.0,167361.0,171633.0,173445.0,177039.0,170515.0,173614.0,190570.0,0.00M,,,,,,,,,,,Bella Vista,36.4295,-94.2316,0
1503,SC,2023-03-02 01:53:13,71.62,87,0,9.22,   Government Expenditures ,200816.0,225343.0,255535.0,294578.0,317126.0,324548.0,329170.0,340535.0,356591.0,384201.0,1.49M,,,,,,,,,,,Summerville,33.0185,-80.1757,0
1504,PA,2023-03-02 01:55:55,54.05,67,75,8.05,   Government Expenditures ,483052.0,517052.0,527817.0,540568.0,591507.0,646113.0,711072.0,707676.0,738929.0,794561.0,2.70M,25.0,171.1,122.3,62.2,74.1,75.7,5.2,38.1,46.3,72.1,Sharon,41.2331,-80.4934,0
1506,MI,2023-03-02 01:55:56,48.92,84,0,3.44,   Government Expenditures ,371843.0,391653.0,409973.0,426661.0,441875.0,458791.0,472418.0,485988.0,508609.0,535181.0,0.72M,60.0,135.4,115.5,26.1,62.4,72.3,1.4,44.6,59.8,66.0,Adrian,41.8975,-84.0372,0
1507,NC,2023-03-02 01:55:57,70.02,59,0,8.05,   Government Expenditures ,566529.0,616016.0,621819.0,633533.0,633430.0,614989.0,591243.0,517182.0,518677.0,542180.0,3.74M,9.0,174.1,105.4,61.2,67.7,80.0,6.4,36.3,31.6,83.9,New Bern,35.1085,-77.0441,1
1509,NC,2023-03-02 01:55:57,56.55,100,0,0.0,   Government Expenditures ,566529.0,616016.0,621819.0,633533.0,633430.0,614989.0,591243.0,517182.0,518677.0,542180.0,3.74M,9.0,174.1,105.4,61.2,67.7,80.0,6.4,36.3,31.6,83.9,Eden,36.4885,-79.7667,1
1511,TN,2023-03-02 01:55:57,66.83,81,100,4.61,   Government Expenditures ,352536.0,376715.0,383697.0,394475.0,408948.0,421314.0,437671.0,417623.0,436064.0,469304.0,0.54M,33.0,169.1,109.5,53.6,64.9,79.7,3.9,39.0,35.7,83.0,Crossville,35.949,-85.0269,0
1512,OR,2023-03-02 01:55:58,44.73,45,0,4.61,   Government Expenditures ,286360.0,314568.0,341102.0,373430.0,397852.0,419070.0,432574.0,440083.0,447040.0,475288.0,1.65M,12.0,173.8,111.0,44.5,72.6,82.9,5.0,33.5,32.6,89.6,Central Point,42.376,-122.9164,0
1513,TX,2023-03-02 01:55:58,73.11,78,40,9.22,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Bellmead,31.594,-97.1089,1
1517,TX,2023-03-02 01:53:55,75.43,92,100,25.32,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Corpus Christi,27.8006,-97.3964,1
1521,OH,2023-03-02 01:55:58,51.94,84,0,3.44,   Government Expenditures ,518354.0,540419.0,561612.0,583584.0,619216.0,656250.0,677150.0,693134.0,727165.0,775456.0,0.63M,10.0,174.0,119.9,52.0,68.4,72.1,7.1,30.4,32.3,71.3,Maumee,41.5628,-83.6538,1
1523,TX,2023-03-02 01:54:01,72.27,20,0,13.8,   Government Expenditures ,887864.0,935149.0,983421.0,1031987.0,1091291.0,1146120.0,1185978.0,1221296.0,1282540.0,1355443.0,4.35M,2.0,175.3,134.1,48.6,66.2,76.7,2.5,35.6,42.6,81.9,Midland,31.9974,-102.0779,1
1527,GA,2023-03-02 01:55:59,72.95,83,0,0.0,   Government Expenditures ,405793.0,432925.0,446331.0,463797.0,454535.0,423344.0,410587.0,414046.0,467874.0,515523.0,1.80M,41.0,165.6,127.4,36.2,69.6,73.4,3.1,41.7,44.8,89.7,Jesup,31.6074,-81.8854,0
1528,KS,2023-03-02 01:56:00,53.71,28,0,5.75,   Government Expenditures ,149430.0,160522.0,169709.0,179578.0,183431.0,187393.0,190970.0,201262.0,212468.0,230553.0,0.00M,,,,,,,,,,,Chanute,37.6792,-95.4572,0
